"Classe","Nome Corso","Ateneo","Anno accademico","Descrizione indicatore","ID Indicatore","Numeratore","Denominatore"
"L-8 - Ingegneria dell'informazione","0010206200800012 - Electronic and Communications Engineering (Ingegneria elettronica e delle comunicazioni)","Politecnico di Torino","2023","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","8.000","33.000"
"L-8 - Ingegneria dell'informazione","0010206200800012 - Electronic and Communications Engineering (Ingegneria elettronica e delle comunicazioni)","Politecnico di Torino","2024","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","3.000","25.000"
"L-8 - Ingegneria dell'informazione","0010206200800012 - Electronic and Communications Engineering (Ingegneria elettronica e delle comunicazioni)","Politecnico di Torino","2025","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","14.000","47.000"
"L-8 - Ingegneria dell'informazione","0010206200800013 - Ingegneria informatica","Politecnico di Torino","2020","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","190.000","455.000"
"L-8 - Ingegneria dell'informazione","0010206200800013 - Ingegneria informatica","Politecnico di Torino","2021","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","188.000","474.000"
"L-8 - Ingegneria dell'informazione","0010206200800013 - Ingegneria informatica","Politecnico di Torino","2022","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","265.000","515.000"
"L-8 - Ingegneria dell'informazione","0010206200800013 - Ingegneria informatica","Politecnico di Torino","2023","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","196.000","449.000"
"L-8 - Ingegneria dell'informazione","0010206200800013 - Ingegneria informatica","Politecnico di Torino","2024","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","199.000","496.000"
"L-8 - Ingegneria dell'informazione","0010206200800013 - Ingegneria informatica","Politecnico di Torino","2025","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","232.000","525.000"
"L-8 - Ingegneria dell'informazione","0100106200800002 - Ingegneria Informatica","Università di Genova","2020","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","25.000","67.000"
"L-8 - Ingegneria dell'informazione","0100106200800002 - Ingegneria Informatica","Università di Genova","2021","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","29.000","54.000"
"L-8 - Ingegneria dell'informazione","0100106200800002 - Ingegneria Informatica","Università di Genova","2022","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","27.000","45.000"
"L-8 - Ingegneria dell'informazione","0100106200800002 - Ingegneria Informatica","Università di Genova","2023","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","22.000","37.000"
"L-8 - Ingegneria dell'informazione","0100106200800002 - Ingegneria Informatica","Università di Genova","2024","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","28.000","50.000"
"L-8 - Ingegneria dell'informazione","0100106200800002 - Ingegneria Informatica","Università di Genova","2025","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","30.000","46.000"
"L-8 - Ingegneria dell'informazione","0100106200800004 - Ingegneria Biomedica","Università di Genova","2020","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","38.000","75.000"
"L-8 - Ingegneria dell'informazione","0100106200800004 - Ingegneria Biomedica","Università di Genova","2021","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","45.000","71.000"
"L-8 - Ingegneria dell'informazione","0100106200800004 - Ingegneria Biomedica","Università di Genova","2022","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","33.000","57.000"
"L-8 - Ingegneria dell'informazione","0100106200800004 - Ingegneria Biomedica","Università di Genova","2023","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","38.000","68.000"
"L-8 - Ingegneria dell'informazione","0100106200800004 - Ingegneria Biomedica","Università di Genova","2024","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","21.000","62.000"
"L-8 - Ingegneria dell'informazione","0100106200800004 - Ingegneria Biomedica","Università di Genova","2025","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","25.000","78.000"
"L-8 - Ingegneria dell'informazione","0100106200800005 - Ingegneria Elettronica e Tecnologie dell'Informazione","Università di Genova","2020","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","29.000","43.000"
"L-8 - Ingegneria dell'informazione","0100106200800005 - Ingegneria Elettronica e Tecnologie dell'Informazione","Università di Genova","2021","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","19.000","28.000"
"L-8 - Ingegneria dell'informazione","0100106200800005 - Ingegneria Elettronica e Tecnologie dell'Informazione","Università di Genova","2022","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","18.000","27.000"
"L-8 - Ingegneria dell'informazione","0100106200800005 - Ingegneria Elettronica e Tecnologie dell'Informazione","Università di Genova","2023","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","12.000","23.000"
"L-8 - Ingegneria dell'informazione","0100106200800005 - Ingegneria Elettronica e Tecnologie dell'Informazione","Università di Genova","2024","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","23.000","36.000"
"L-8 - Ingegneria dell'informazione","0100106200800005 - Ingegneria Elettronica e Tecnologie dell'Informazione","Università di Genova","2025","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","16.000","29.000"
"L-8 - Ingegneria dell'informazione","0130106200800002 - Ingegneria Informatica e dell'Automazione","Telematica e-Campus","2020","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","102.000","150.000"
"L-8 - Ingegneria dell'informazione","0130106200800002 - Ingegneria Informatica e dell'Automazione","Telematica e-Campus","2021","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","185.000","254.000"
"L-8 - Ingegneria dell'informazione","0130106200800002 - Ingegneria Informatica e dell'Automazione","Telematica e-Campus","2022","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","226.000","318.000"
"L-8 - Ingegneria dell'informazione","0130106200800002 - Ingegneria Informatica e dell'Automazione","Telematica e-Campus","2023","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","248.000","373.000"
"L-8 - Ingegneria dell'informazione","0130106200800002 - Ingegneria Informatica e dell'Automazione","Telematica e-Campus","2024","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","209.000","419.000"
"L-8 - Ingegneria dell'informazione","0130106200800002 - Ingegneria Informatica e dell'Automazione","Telematica e-Campus","2025","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","284.000","518.000"
"L-8 - Ingegneria dell'informazione","0150206200800003 - Ingegneria Informatica","Politecnico di Milano","2020","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","261.000","554.000"
"L-8 - Ingegneria dell'informazione","0150206200800003 - Ingegneria Informatica","Politecnico di Milano","2021","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","327.000","657.000"
"L-8 - Ingegneria dell'informazione","0150206200800003 - Ingegneria Informatica","Politecnico di Milano","2022","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","318.000","592.000"
"L-8 - Ingegneria dell'informazione","0150206200800003 - Ingegneria Informatica","Politecnico di Milano","2023","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","312.000","618.000"
"L-8 - Ingegneria dell'informazione","0150206200800003 - Ingegneria Informatica","Politecnico di Milano","2024","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","381.000","710.000"
"L-8 - Ingegneria dell'informazione","0150206200800003 - Ingegneria Informatica","Politecnico di Milano","2025","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","382.000","679.000"
"L-8 - Ingegneria dell'informazione","0150206200800007 - Ingegneria Elettronica","Politecnico di Milano","2020","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","50.000","106.000"
"L-8 - Ingegneria dell'informazione","0150206200800007 - Ingegneria Elettronica","Politecnico di Milano","2021","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","62.000","128.000"
"L-8 - Ingegneria dell'informazione","0150206200800007 - Ingegneria Elettronica","Politecnico di Milano","2022","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","71.000","133.000"
"L-8 - Ingegneria dell'informazione","0150206200800007 - Ingegneria Elettronica","Politecnico di Milano","2023","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","61.000","104.000"
"L-8 - Ingegneria dell'informazione","0150206200800007 - Ingegneria Elettronica","Politecnico di Milano","2024","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","73.000","126.000"
"L-8 - Ingegneria dell'informazione","0150206200800007 - Ingegneria Elettronica","Politecnico di Milano","2025","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","87.000","140.000"
"L-8 - Ingegneria dell'informazione","0150206200800017 - Ingegneria dell'Automazione","Politecnico di Milano","2020","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","39.000","64.000"
"L-8 - Ingegneria dell'informazione","0150206200800017 - Ingegneria dell'Automazione","Politecnico di Milano","2021","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","60.000","95.000"
"L-8 - Ingegneria dell'informazione","0150206200800017 - Ingegneria dell'Automazione","Politecnico di Milano","2022","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","74.000","103.000"
"L-8 - Ingegneria dell'informazione","0150206200800017 - Ingegneria dell'Automazione","Politecnico di Milano","2023","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","63.000","95.000"
"L-8 - Ingegneria dell'informazione","0150206200800017 - Ingegneria dell'Automazione","Politecnico di Milano","2024","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","65.000","102.000"
"L-8 - Ingegneria dell'informazione","0150206200800017 - Ingegneria dell'Automazione","Politecnico di Milano","2025","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","58.000","85.000"
"L-8 - Ingegneria dell'informazione","0150206200800018 - Ingegneria Biomedica","Politecnico di Milano","2020","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","101.000","145.000"
"L-8 - Ingegneria dell'informazione","0150206200800018 - Ingegneria Biomedica","Politecnico di Milano","2021","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","131.000","194.000"
"L-8 - Ingegneria dell'informazione","0150206200800018 - Ingegneria Biomedica","Politecnico di Milano","2022","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","128.000","173.000"
"L-8 - Ingegneria dell'informazione","0150206200800018 - Ingegneria Biomedica","Politecnico di Milano","2023","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","104.000","146.000"
"L-8 - Ingegneria dell'informazione","0150206200800018 - Ingegneria Biomedica","Politecnico di Milano","2024","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","134.000","168.000"
"L-8 - Ingegneria dell'informazione","0150206200800018 - Ingegneria Biomedica","Politecnico di Milano","2025","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","155.000","205.000"
"L-8 - Ingegneria dell'informazione","0150206200800019 - Ingegneria Gestionale","Politecnico di Milano","2020","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","230.000","356.000"
"L-8 - Ingegneria dell'informazione","0150206200800019 - Ingegneria Gestionale","Politecnico di Milano","2021","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","169.000","312.000"
"L-8 - Ingegneria dell'informazione","0150206200800019 - Ingegneria Gestionale","Politecnico di Milano","2022","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","142.000","254.000"
"L-8 - Ingegneria dell'informazione","0150206200800019 - Ingegneria Gestionale","Politecnico di Milano","2023","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","156.000","246.000"
"L-8 - Ingegneria dell'informazione","0150206200800019 - Ingegneria Gestionale","Politecnico di Milano","2024","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","161.000","242.000"
"L-8 - Ingegneria dell'informazione","0150206200800019 - Ingegneria Gestionale","Politecnico di Milano","2025","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","131.000","193.000"
"L-8 - Ingegneria dell'informazione","0150206200800020 - Ingegneria Fisica","Politecnico di Milano","2020","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","35.000","74.000"
"L-8 - Ingegneria dell'informazione","0150206200800020 - Ingegneria Fisica","Politecnico di Milano","2021","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","33.000","68.000"
"L-8 - Ingegneria dell'informazione","0150206200800020 - Ingegneria Fisica","Politecnico di Milano","2022","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","45.000","80.000"
