"Ateneo","Anno accademico","Classe","Nome Corso","ID Indicatore","Descrizione indicatore","Numeratore"
"Politecnica delle Marche","2021","L-8 - Ingegneria dell'informazione","0420106200800006 - Ingegneria Biomedica","iC02","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","61.000"
"Politecnica delle Marche","2021","L-8 - Ingegneria dell'informazione","0420106200800006 - Ingegneria Biomedica","iC14","Percentuale di studenti che proseguono nel II anno nello stesso corso di studio**","135.000"
"Politecnica delle Marche","2021","L-8 - Ingegneria dell'informazione","0420106200800006 - Ingegneria Biomedica","iC16BIS","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","68.000"
"Politecnica delle Marche","2021","L-8 - Ingegneria dell'informazione","0420106200800006 - Ingegneria Biomedica","iC21","Percentuale di studenti che proseguono la carriera nel sistema universitario al II anno**","163.000"
"Politecnica delle Marche","2021","L-8 - Ingegneria dell'informazione","0420106200800010 - Ingegneria Informatica e dell'Automazione","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","258.000"
"Politecnica delle Marche","2021","L-8 - Ingegneria dell'informazione","0420106200800010 - Ingegneria Informatica e dell'Automazione","iC00b","Immatricolati puri ** (L; LMCU)","232.000"
"Politecnica delle Marche","2021","L-8 - Ingegneria dell'informazione","0420106200800010 - Ingegneria Informatica e dell'Automazione","iC02","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","69.000"
"Politecnica delle Marche","2021","L-8 - Ingegneria dell'informazione","0420106200800010 - Ingegneria Informatica e dell'Automazione","iC14","Percentuale di studenti che proseguono nel II anno nello stesso corso di studio**","149.000"
"Politecnica delle Marche","2021","L-8 - Ingegneria dell'informazione","0420106200800010 - Ingegneria Informatica e dell'Automazione","iC16BIS","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","32.000"
"Politecnica delle Marche","2021","L-8 - Ingegneria dell'informazione","0420106200800010 - Ingegneria Informatica e dell'Automazione","iC21","Percentuale di studenti che proseguono la carriera nel sistema universitario al II anno**","178.000"
"Politecnica delle Marche","2021","L-8 - Ingegneria dell'informazione","0420106200800014 - INGEGNERIA ELETTRONICA E DELLE TECNOLOGIE DIGITALI ","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","99.000"
"Politecnica delle Marche","2021","L-8 - Ingegneria dell'informazione","0420106200800014 - INGEGNERIA ELETTRONICA E DELLE TECNOLOGIE DIGITALI ","iC00b","Immatricolati puri ** (L; LMCU)","94.000"
"Politecnica delle Marche","2021","L-8 - Ingegneria dell'informazione","0420106200800014 - INGEGNERIA ELETTRONICA E DELLE TECNOLOGIE DIGITALI ","iC02","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","17.000"
"Politecnica delle Marche","2021","L-8 - Ingegneria dell'informazione","0420106200800014 - INGEGNERIA ELETTRONICA E DELLE TECNOLOGIE DIGITALI ","iC14","Percentuale di studenti che proseguono nel II anno nello stesso corso di studio**","58.000"
"Politecnica delle Marche","2021","L-8 - Ingegneria dell'informazione","0420106200800014 - INGEGNERIA ELETTRONICA E DELLE TECNOLOGIE DIGITALI ","iC16BIS","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","15.000"
"Politecnica delle Marche","2021","L-8 - Ingegneria dell'informazione","0420106200800014 - INGEGNERIA ELETTRONICA E DELLE TECNOLOGIE DIGITALI ","iC21","Percentuale di studenti che proseguono la carriera nel sistema universitario al II anno**","70.000"
"Politecnica delle Marche","2021","L-8 - Ingegneria dell'informazione","0420106200900019 - Ingegneria Gestionale","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","18.000"
"Politecnica delle Marche","2021","L-8 - Ingegneria dell'informazione","0420106200900019 - Ingegneria Gestionale","iC00b","Immatricolati puri ** (L; LMCU)","15.000"
"Politecnica delle Marche","2021","L-8 - Ingegneria dell'informazione","0420106200900019 - Ingegneria Gestionale","iC02","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","6.000"
"Politecnica delle Marche","2021","L-8 - Ingegneria dell'informazione","0420106200900019 - Ingegneria Gestionale","iC14","Percentuale di studenti che proseguono nel II anno nello stesso corso di studio**","7.000"
"Politecnica delle Marche","2021","L-8 - Ingegneria dell'informazione","0420106200900019 - Ingegneria Gestionale","iC16BIS","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","6.000"
"Politecnica delle Marche","2021","L-8 - Ingegneria dell'informazione","0420106200900019 - Ingegneria Gestionale","iC21","Percentuale di studenti che proseguono la carriera nel sistema universitario al II anno**","13.000"
"Politecnica delle Marche","2022","L-8 - Ingegneria dell'informazione","0420106200800006 - Ingegneria Biomedica","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","151.000"
"Politecnica delle Marche","2022","L-8 - Ingegneria dell'informazione","0420106200800006 - Ingegneria Biomedica","iC00b","Immatricolati puri ** (L; LMCU)","126.000"
"Politecnica delle Marche","2022","L-8 - Ingegneria dell'informazione","0420106200800006 - Ingegneria Biomedica","iC02","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","78.000"
"Politecnica delle Marche","2022","L-8 - Ingegneria dell'informazione","0420106200800006 - Ingegneria Biomedica","iC14","Percentuale di studenti che proseguono nel II anno nello stesso corso di studio**","99.000"
"Politecnica delle Marche","2022","L-8 - Ingegneria dell'informazione","0420106200800006 - Ingegneria Biomedica","iC16BIS","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","40.000"
"Politecnica delle Marche","2022","L-8 - Ingegneria dell'informazione","0420106200800006 - Ingegneria Biomedica","iC21","Percentuale di studenti che proseguono la carriera nel sistema universitario al II anno**","119.000"
"Politecnica delle Marche","2022","L-8 - Ingegneria dell'informazione","0420106200800010 - Ingegneria Informatica e dell'Automazione","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","196.000"
"Politecnica delle Marche","2022","L-8 - Ingegneria dell'informazione","0420106200800010 - Ingegneria Informatica e dell'Automazione","iC00b","Immatricolati puri ** (L; LMCU)","178.000"
"Politecnica delle Marche","2022","L-8 - Ingegneria dell'informazione","0420106200800010 - Ingegneria Informatica e dell'Automazione","iC02","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","53.000"
"Politecnica delle Marche","2022","L-8 - Ingegneria dell'informazione","0420106200800010 - Ingegneria Informatica e dell'Automazione","iC14","Percentuale di studenti che proseguono nel II anno nello stesso corso di studio**","122.000"
"Politecnica delle Marche","2022","L-8 - Ingegneria dell'informazione","0420106200800010 - Ingegneria Informatica e dell'Automazione","iC16BIS","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","48.000"
"Politecnica delle Marche","2022","L-8 - Ingegneria dell'informazione","0420106200800010 - Ingegneria Informatica e dell'Automazione","iC21","Percentuale di studenti che proseguono la carriera nel sistema universitario al II anno**","145.000"
"Politecnica delle Marche","2022","L-8 - Ingegneria dell'informazione","0420106200800014 - INGEGNERIA ELETTRONICA E DELLE TECNOLOGIE DIGITALI ","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","64.000"
"Politecnica delle Marche","2022","L-8 - Ingegneria dell'informazione","0420106200800014 - INGEGNERIA ELETTRONICA E DELLE TECNOLOGIE DIGITALI ","iC00b","Immatricolati puri ** (L; LMCU)","57.000"
"Politecnica delle Marche","2022","L-8 - Ingegneria dell'informazione","0420106200800014 - INGEGNERIA ELETTRONICA E DELLE TECNOLOGIE DIGITALI ","iC02","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","18.000"
"Politecnica delle Marche","2022","L-8 - Ingegneria dell'informazione","0420106200800014 - INGEGNERIA ELETTRONICA E DELLE TECNOLOGIE DIGITALI ","iC14","Percentuale di studenti che proseguono nel II anno nello stesso corso di studio**","39.000"
"Politecnica delle Marche","2022","L-8 - Ingegneria dell'informazione","0420106200800014 - INGEGNERIA ELETTRONICA E DELLE TECNOLOGIE DIGITALI ","iC16BIS","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","12.000"
"Politecnica delle Marche","2022","L-8 - Ingegneria dell'informazione","0420106200800014 - INGEGNERIA ELETTRONICA E DELLE TECNOLOGIE DIGITALI ","iC21","Percentuale di studenti che proseguono la carriera nel sistema universitario al II anno**","46.000"
"Politecnica delle Marche","2022","L-8 - Ingegneria dell'informazione","0420106200800015 - INGEGNERIA DELL’INFORMAZIONE PER VIDEOGAME E REALTÀ VIRTUALE","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","95.000"
"Politecnica delle Marche","2022","L-8 - Ingegneria dell'informazione","0420106200800015 - INGEGNERIA DELL’INFORMAZIONE PER VIDEOGAME E REALTÀ VIRTUALE","iC00b","Immatricolati puri ** (L; LMCU)","76.000"
"Politecnica delle Marche","2022","L-8 - Ingegneria dell'informazione","0420106200800015 - INGEGNERIA DELL’INFORMAZIONE PER VIDEOGAME E REALTÀ VIRTUALE","iC14","Percentuale di studenti che proseguono nel II anno nello stesso corso di studio**","50.000"
"Politecnica delle Marche","2022","L-8 - Ingegneria dell'informazione","0420106200800015 - INGEGNERIA DELL’INFORMAZIONE PER VIDEOGAME E REALTÀ VIRTUALE","iC16BIS","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","23.000"
"Politecnica delle Marche","2022","L-8 - Ingegneria dell'informazione","0420106200800015 - INGEGNERIA DELL’INFORMAZIONE PER VIDEOGAME E REALTÀ VIRTUALE","iC21","Percentuale di studenti che proseguono la carriera nel sistema universitario al II anno**","57.000"
"Politecnica delle Marche","2022","L-8 - Ingegneria dell'informazione","0420106200900019 - Ingegneria Gestionale","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","27.000"
"Politecnica delle Marche","2022","L-8 - Ingegneria dell'informazione","0420106200900019 - Ingegneria Gestionale","iC00b","Immatricolati puri ** (L; LMCU)","26.000"
"Politecnica delle Marche","2022","L-8 - Ingegneria dell'informazione","0420106200900019 - Ingegneria Gestionale","iC02","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","4.000"
"Politecnica delle Marche","2022","L-8 - Ingegneria dell'informazione","0420106200900019 - Ingegneria Gestionale","iC14","Percentuale di studenti che proseguono nel II anno nello stesso corso di studio**","22.000"
"Politecnica delle Marche","2022","L-8 - Ingegneria dell'informazione","0420106200900019 - Ingegneria Gestionale","iC16BIS","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","8.000"
"Politecnica delle Marche","2022","L-8 - Ingegneria dell'informazione","0420106200900019 - Ingegneria Gestionale","iC21","Percentuale di studenti che proseguono la carriera nel sistema universitario al II anno**","25.000"
"Politecnica delle Marche","2023","L-8 - Ingegneria dell'informazione","0420106200800006 - Ingegneria Biomedica","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","128.000"
"Politecnica delle Marche","2023","L-8 - Ingegneria dell'informazione","0420106200800006 - Ingegneria Biomedica","iC00b","Immatricolati puri ** (L; LMCU)","113.000"
"Politecnica delle Marche","2023","L-8 - Ingegneria dell'informazione","0420106200800006 - Ingegneria Biomedica","iC02","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","73.000"
"Politecnica delle Marche","2023","L-8 - Ingegneria dell'informazione","0420106200800006 - Ingegneria Biomedica","iC14","Percentuale di studenti che proseguono nel II anno nello stesso corso di studio**","102.000"
"Politecnica delle Marche","2023","L-8 - Ingegneria dell'informazione","0420106200800006 - Ingegneria Biomedica","iC16BIS","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","53.000"
"Politecnica delle Marche","2023","L-8 - Ingegneria dell'informazione","0420106200800006 - Ingegneria Biomedica","iC21","Percentuale di studenti che proseguono la carriera nel sistema universitario al II anno**","106.000"
"Politecnica delle Marche","2023","L-8 - Ingegneria dell'informazione","0420106200800010 - Ingegneria Informatica e dell'Automazione","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","228.000"
"Politecnica delle Marche","2023","L-8 - Ingegneria dell'informazione","0420106200800010 - Ingegneria Informatica e dell'Automazione","iC00b","Immatricolati puri ** (L; LMCU)","207.000"
"Politecnica delle Marche","2023","L-8 - Ingegneria dell'informazione","0420106200800010 - Ingegneria Informatica e dell'Automazione","iC02","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","54.000"
"Politecnica delle Marche","2023","L-8 - Ingegneria dell'informazione","0420106200800010 - Ingegneria Informatica e dell'Automazione","iC14","Percentuale di studenti che proseguono nel II anno nello stesso corso di studio**","162.000"
"Politecnica delle Marche","2023","L-8 - Ingegneria dell'informazione","0420106200800010 - Ingegneria Informatica e dell'Automazione","iC16BIS","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","66.000"
"Politecnica delle Marche","2023","L-8 - Ingegneria dell'informazione","0420106200800010 - Ingegneria Informatica e dell'Automazione","iC21","Percentuale di studenti che proseguono la carriera nel sistema universitario al II anno**","175.000"
"Politecnica delle Marche","2023","L-8 - Ingegneria dell'informazione","0420106200800014 - INGEGNERIA ELETTRONICA E DELLE TECNOLOGIE DIGITALI ","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","70.000"
"Politecnica delle Marche","2023","L-8 - Ingegneria dell'informazione","0420106200800014 - INGEGNERIA ELETTRONICA E DELLE TECNOLOGIE DIGITALI ","iC00b","Immatricolati puri ** (L; LMCU)","64.000"
